"mineralName","formula","discoveryYear"
"Prismatine","(&#9723;,Fe,Mg)(Mg,Al,Fe)<sub>5</sub>Al<sub>4</sub>Si<sub>2</sub>(Si,Al)<sub>2</sub>(B,Si,Al)(O,OH,F)<sub>22</sub>","1886"
"Kaliophilite","KAlSiO<sub>4</sub>","1886"
"Harstigite","Ca<sub>6</sub>(Mn,Mg)Be<sub>4</sub>Si<sub>6</sub>(O,OH)<sub>24</sub>","1886"
"Eudidymite","Na<sub>2</sub>Be<sub>2</sub>Si<sub>6</sub>O<sub>15</sub>&middot;H<sub>2</sub>O","1887"
"Inesite","Ca<sub>2</sub>(Mn,Fe)<sub>7</sub>Si<sub>10</sub>O<sub>28</sub>(OH)<sub>2</sub>&middot;5H<sub>2</sub>O","1887"
"Rosenbuschite","Na<sub>6</sub>Ca<sub>6</sub>Zr<sub>3</sub>Ti(Si<sub>2</sub>O<sub>7</sub>)<sub>4</sub>O<sub>2</sub>F<sub>6</sub>","1887"
"Bementite","Mn<sub>7</sub>Si<sub>6</sub>O<sub>15</sub>(OH)<sub>8</sub>","1887"
"Cristobalite","SiO<sub>2</sub>","1887"
"Riebeckite","&#9723;[Na<sub>2</sub>][Fe<sup>2+</sup><sub>3</sub>Fe<sup>3+</sup><sub>2</sub>]Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","1888"
"Barysilite","Pb<sub>8</sub>Mn<sup>2+</sup>[Si<sub>2</sub>O<sub>7</sub>]<sub>3</sub>","1888"
"Hiortdahlite","Na<sub>2</sub>Ca<sub>4</sub>(Ca<sub>0.5</sub>Zr<sub>0.5</sub>)Zr(Si<sub>2</sub>O<sub>7</sub>)2OF<sub>3</sub>","1889"
"Caryopilite","Mn<sup>2+</sup><sub>3</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>","1889"
"Offretite","KCaMg(Si<sub>13</sub>Al<sub>5</sub>)O<sub>36</sub>&middot;15H<sub>2</sub>O","1890"
"Ganophyllite","(K,Na,Ca)<sub>2</sub>Mn<sub>8</sub>(Si,Al)<sub>12</sub>(O,OH)<sub>32</sub>&middot;8H<sub>2</sub>O","1890"
"Lazurite","Na<sub>7</sub>Ca(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)(SO<sub>4</sub>)(S<sub>3</sub>)&middot;H<sub>2</sub>O","1890"
"Trimerite","CaMn<sup>2+</sup><sub>2</sub>Be<sub>3</sub>(SiO<sub>4</sub>)<sub>3</sub>","1890"
"Rectorite","(Na,Ca)Al<sub>4</sub>((Si,Al)<sub>8</sub>O<sub>20</sub>)(OH)<sub>4</sub>&middot;2H<sub>2</sub>O","1891"
