"mineralName","formula","discoveryYear"
"Magnesio-hastingsite","NaCa<sub>2</sub>(Mg<sub>4</sub>Fe<sup>3+</sup>)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>","1928"
"Nahcolite","NaHCO<sub>3</sub>","1928"
"Probertite","NaCa[B<sub>5</sub>O<sub>7</sub>(OH)<sub>4</sub>]&middot;3H<sub>2</sub>O","1929"
"Fersmanite","Ca<sub>4</sub>(Na,Ca)<sub>4</sub>(Ti,Nb)<sub>4</sub>(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>O<sub>8</sub>F<sub>3</sub>","1929"
"Mangani-pargasite","NaCa<sub>2</sub>(Mg<sub>4</sub>Mn<sup>3+</sup>)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>","1930"
"Millisite","(Na,K)CaAl<sub>6</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>9</sub>&middot;3H<sub>2</sub>O","1930"
"Englishite","K<sub>3</sub>Na<sub>2</sub>Ca<sub>10</sub>Al<sub>15</sub>(PO<sub>4</sub>)<sub>21</sub>(OH)<sub>7</sub>&middot;26H<sub>2</sub>O","1930"
"Vishnevite","(Na,K)<sub>8</sub>(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)(SO<sub>4</sub>,CO<sub>3</sub>)&middot;2H<sub>2</sub>O","1931"
"Clarkeite","(Na,Ca,Pb)(UO<sub>2</sub>)O(OH)&middot;0-1H<sub>2</sub>O","1931"
"Schairerite","Na<sub>21</sub>(SO<sub>4</sub>)<sub>7</sub>ClF<sub>6</sub>","1931"
"Serandite","NaMn<sup>2+</sup><sub>2</sub>Si<sub>3</sub>O<sub>8</sub>(OH)","1931"
"Tuhualite","NaFe<sup>2+</sup>Fe<sup>3+</sup>Si<sub>6</sub>O<sub>15</sub>","1932"
"Jarlite","Na(Sr,Na)<sub>7</sub>MgAl<sub>6</sub>F<sub>32</sub>(OH,H<sub>2</sub>O)<sub>2</sub>","1933"
"Corvusite","(Na,K,Ca,Mg)<sub>2</sub>(V<sup>5+</sup>,V<sup>4+</sup>,Fe<sup>2+</sup>)<sub>8</sub>O<sub>20</sub>&middot;6-10H<sub>2</sub>O","1933"
"Amarillite","NaFe(SO<sub>4</sub>)<sub>2</sub>&middot;6H<sub>2</sub>O","1933"
"Ferruccite","Na[BF<sub>4</sub>]","1933"
"Todorokite","(Na,Ca,K,Ba,Sr)<sub>1-x</sub>(Mn,Mg,Al)<sub>6</sub>O<sub>12</sub>&middot;3-4H<sub>2</sub>O","1934"
"Julienite","Na<sub>2</sub>[Co(SCN)<sub>4</sub>]&middot;8H<sub>2</sub>O","1935"
"Ungemachite","K<sub>3</sub>Na<sub>8</sub>Fe(SO<sub>4</sub>)<sub>6</sub>(NO<sub>3</sub>)<sub>2</sub>&middot;6H<sub>2</sub>O","1936"
"Varulite","NaCaMn<sup>2+</sup>Mn<sup>2+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>3</sub>","1937"
"Weberite","Na<sub>2</sub>Mg[AlF<sub>6</sub>]F","1938"
"Chkalovite","Na<sub>2</sub>BeSi<sub>2</sub>O<sub>6</sub>","1938"
"Teepleite","Na<sub>2</sub>[B(OH)<sub>4</sub>]Cl","1938"
"Metasideronatrite","Na<sub>2</sub>Fe(SO<sub>4</sub>)<sub>2</sub>(OH)&middot;H<sub>2</sub>O","1938"
"Paralomonosovite","Na<sub>6</sub>&#9723;<sub>4</sub>Ti<sub>4</sub>(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>[PO<sub>3</sub>OH][PO<sub>2</sub>(OH)<sub>2</sub>]O<sub>2</sub>(OF)","1938"
"Shortite","Na<sub>2</sub>Ca<sub>2</sub>(CO<sub>3</sub>)<sub>3</sub>","1939"
"Lovozerite","Na<sub>2</sub>Ca(Zr,Ti)(Si<sub>6</sub>O<sub>12</sub>)[(OH)<sub>4</sub>O<sub>2</sub>]&middot;H<sub>2</sub>O","1939"
