"mineralName","formula","discoveryYear"
"Dravite","NaMg<sub>3</sub>Al<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH)","1883"
"Hematolite","(Mn,Mg,Al,Fe<sup>3+</sup>)<sub>15</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>2</sub>(As<sup>3+</sup>O<sub>3</sub>)(OH)<sub>23</sub>","1884"
"Kaersutite","NaCa<sub>2</sub>(Mg<sub>3</sub>AlTi<sup>4+</sup>)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>O<sub>2</sub>","1884"
"Polylithionite","KLi<sub>2</sub>Al(Si<sub>4</sub>O<sub>10</sub>)(F,OH)<sub>2</sub>","1884"
"Kornerupine","Mg<sub>3</sub>Al<sub>6</sub>(Si,Al,B)<sub>5</sub>O<sub>21</sub>(OH)","1884"
"Goyazite","SrAl<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)(OH)<sub>6</sub>","1884"
"Prismatine","(&#9723;,Fe,Mg)(Mg,Al,Fe)<sub>5</sub>Al<sub>4</sub>Si<sub>2</sub>(Si,Al)<sub>2</sub>(B,Si,Al)(O,OH,F)<sub>22</sub>","1886"
"Kaliophilite","KAlSiO<sub>4</sub>","1886"
"Redingtonite","(Fe<sup>2+</sup>,Mg,Ni)(Cr,Al)<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>&middot;22H<sub>2</sub>O","1888"
"Tamarugite","NaAl(SO<sub>4</sub>)<sub>2</sub>&middot;6H<sub>2</sub>O","1889"
"Offretite","KCaMg(Si<sub>13</sub>Al<sub>5</sub>)O<sub>36</sub>&middot;15H<sub>2</sub>O","1890"
"Ganophyllite","(K,Na,Ca)<sub>2</sub>Mn<sub>8</sub>(Si,Al)<sub>12</sub>(O,OH)<sub>32</sub>&middot;8H<sub>2</sub>O","1890"
"Lazurite","Na<sub>7</sub>Ca(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)(SO<sub>4</sub>)(S<sub>3</sub>)&middot;H<sub>2</sub>O","1890"
"Spangolite","Cu<sub>6</sub>Al(SO<sub>4</sub>)(OH)<sub>12</sub>Cl&middot;3H<sub>2</sub>O","1890"
"Griphite","Na<sub>4</sub>Li<sub>2</sub>Ca<sub>6</sub>(Mn<sup>2+</sup>,Fe<sup>2+</sup>,Mg)<sub>19</sub>Al<sub>8</sub>(PO<sub>4</sub>)<sub>24</sub>(F,OH)<sub>8</sub>","1891"
"Morinite","NaCa<sub>2</sub>Al<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)F<sub>4</sub>&middot;2H<sub>2</sub>O","1891"
"Rectorite","(Na,Ca)Al<sub>4</sub>((Si,Al)<sub>8</sub>O<sub>20</sub>)(OH)<sub>4</sub>&middot;2H<sub>2</sub>O","1891"
"Aegirine-augite","(Na<sub>a</sub>Ca<sub>b</sub>Fe<sup>2+</sup><sub>c</sub>Mg<sub>d</sub>)(Fe<sup>3+</sup><sub>e</sub>Al<sub>f</sub>Fe<sup>2+</sup><sub>g</sub>Mg<sub>h</sub>)Si<sub>2</sub>O<sub>6</sub>","1892"
"Dundasite","PbAl<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>4</sub>&middot;H<sub>2</sub>O","1893"
"Celsian","Ba(Al<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>)","1895"
"Hastingsite","NaCa<sub>2</sub>(Fe<sup>2+</sup><sub>4</sub>Fe<sup>3+</sup>)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>","1896"
"Gonnardite","(Na,Ca)<sub>2</sub>(Si,Al)<sub>5</sub>O<sub>10</sub>&middot;3H<sub>2</sub>O","1896"
"Clinozoisite","(CaCa)(AlAlAl)O[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>](OH)","1896"
"Wardite","NaAl<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>&middot;2H<sub>2</sub>O","1896"
"Naujakasite","(Na,K)<sub>6</sub>(Fe<sup>2+</sup>,Mn<sup>2+</sup>,Ca)(Al,Fe)<sub>4</sub>Si<sub>8</sub>O<sub>26</sub>","1897"
"Hancockite","(CaPb)(AlAlFe<sup>3+</sup>)O[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>](OH)","1899"
"Bavenite","Ca<sub>4</sub>Be<sub>2</sub>Al<sub>2</sub>Si<sub>9</sub>O<sub>26</sub>(OH)<sub>2</sub>","1901"
"Serendibite","Ca<sub>4</sub>[Mg<sub>6</sub>Al<sub>6</sub>]O<sub>4</sub>[Si<sub>6</sub>B<sub>3</sub>Al<sub>3</sub>O<sub>36</sub>]","1902"
"Koenenite","Na<sub>4</sub>Mg<sub>9</sub>Al<sub>4</sub>Cl<sub>12</sub>(OH)<sub>22</sub>","1902"
"Grandidierite","(Mg,Fe<sup>2+</sup>)(Al,Fe<sup>3+</sup>)<sub>3</sub>(SiO<sub>4</sub>)(BO<sub>3</sub>)O<sub>2</sub>","1902"
"Natroalunite","NaAl<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>","1902"
"Cryolithionite","Na<sub>3</sub>Al<sub>2</sub>(LiF<sub>4</sub>)<sub>3</sub>","1904"
"Paracelsian","Ba(Al<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>)","1905"
"Gorceixite","BaAl<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)(OH)<sub>6</sub>","1906"
"Winchite","&#9723;{CaNa}{Mg<sub>4</sub>Al}(Si<sub>8</sub>O<sub>22</sub>)(OH)<sub>2</sub>","1906"
"Reyerite","(Na,K)<sub>2</sub>Ca<sub>14</sub>(Si,Al)<sub>24</sub>O<sub>58</sub>(OH)<sub>8</sub>&middot;6H<sub>2</sub>O","1906"
"Rhönite","Ca<sub>4</sub>[Mg<sub>8</sub>Fe<sup>3+</sup><sub>2</sub>Ti<sub>2</sub>]O<sub>4</sub>[Si<sub>6</sub>Al<sub>6</sub>O<sub>36</sub>]","1907"
"Bityite","CaLiAl<sub>2</sub>(AlBeSi<sub>2</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1908"
"Axinite-(Mn)","Ca<sub>2</sub>Mn<sup>2+</sup>Al<sub>2</sub>BSi<sub>4</sub>O<sub>15</sub>(OH)","1909"
"Stellerite","Ca<sub>4</sub>(Si<sub>28</sub>Al<sub>8</sub>)O<sub>72</sub>&middot;28H<sub>2</sub>O","1909"
"Vashegyite","Al<sub>11</sub>(PO<sub>4</sub>)<sub>9</sub>(OH)<sub>6</sub>&middot;38H<sub>2</sub>O","1909"
